"CHR","geneID","start","end","annotation"
5,"Sevir.5G085200",6822659,6829680,"(1 of 2) 5.3.1.8 - Mannose-6-phosphate isomerase / Phosphomannose isomerase"
5,"Sevir.5G075600",6044458,6046161,"No gene description."
5,"Sevir.5G094900",7699913,7700820,"(1 of 4) PF00847//PF02362 - AP2 domain (AP2) // B3 DNA binding domain (B3)"
5,"Sevir.5G089500",7252923,7254501,"(1 of 35) PF02485 - Core-2/I-Branching enzyme (Branch)"
5,"Sevir.5G084000",6715295,6716068,"No gene description."
5,"Sevir.5G094300",7633641,7634566,"No gene description."
5,"Sevir.5G092100",7437552,7441509,"(1 of 3) PF07714//PF13947//PF14380 - Protein tyrosine kinase (Pkinase_Tyr) // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind) // Wall-associated receptor kinase C-terminal (WAK_assoc)"
5,"Sevir.5G082400",6589731,6591316,"(1 of 3) PTHR10315//PTHR10315:SF33 - SEVEN IN ABSENTIA HOMOLOG // SUBFAMILY NOT NAMED"
5,"Sevir.5G090400",7359397,7362097,"(1 of 4) PF00331//PF02018 - Glycosyl hydrolase family 10 (Glyco_hydro_10) // Carbohydrate binding domain (CBM_4_9)"
5,"Sevir.5G078901",6333020,6333580,"No gene description."
5,"Sevir.5G078100",6248680,6251031,"(1 of 64) PF00892 - EamA-like transporter family (EamA)"
5,"Sevir.5G087800",7086667,7087052,"(1 of 10) PF00228 - Bowman-Birk serine protease inhibitor family (Bowman-Birk_leg)"
5,"Sevir.5G082200",6575456,6577114,"(1 of 3) K13100 - pre-mRNA-splicing factor CWC22 (CWC22)"
5,"Sevir.5G074400",5977675,5978463,"No gene description."
5,"Sevir.5G090900",7381920,7382719,"(1 of 7) PTHR11527//PTHR11527:SF152 - SMALL HEAT-SHOCK PROTEIN  HSP20  FAMILY // SUBFAMILY NOT NAMED"
5,"Sevir.5G083300",6648073,6650476,"(1 of 10) 1.14.13.138 - Indolin-2-one monooxygenase / CYP71C2"
5,"Sevir.5G076400",6075229,6076876,"No gene description."
5,"Sevir.5G083500",6668429,6673229,"(1 of 3) 1.14.13.139 - 3-hydroxyindolin-2-one monooxygenase / CYP71C1"
5,"Sevir.5G092500",7471583,7472206,"(1 of 117) PF13947 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)"
5,"Sevir.5G085500",6859612,6862290,"(1 of 2) PTHR33146:SF2 - ENDONUCLEASE 2"
5,"Sevir.5G090000",7310933,7312012,"No gene description."
5,"Sevir.5G077000",6147436,6148308,"(1 of 3) PTHR16007//PTHR16007:SF35 - EPIDIDYMAL MEMBRANE PROTEIN E9-RELATED // SUBFAMILY NOT NAMED"
5,"Sevir.5G086900",6960563,6970974,"(1 of 1) PTHR11562:SF20 - METAL TOLERANCE PROTEIN 10-RELATED"
5,"Sevir.5G081866",6546028,6546177,"No gene description."
5,"Sevir.5G089800",7285578,7288004,"No gene description."
5,"Sevir.5G093800",7585916,7587997,"(1 of 1) 3.5.1.94 - Gamma-glutamyl-gamma-aminobutyrate hydrolase / Gamma-glutamyl-GABA hydrolase"
5,"Sevir.5G096500",7849543,7850490,"No gene description."
5,"Sevir.5G074101",5956283,5957338,"(1 of 1) PTHR11362//PTHR11362:SF42 - PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN // SUBFAMILY NOT NAMED"
5,"Sevir.5G076100",6062233,6068265,"No gene description."
5,"Sevir.5G077300",6178817,6181752,"(1 of 43) 3.1.4.46 - Glycerophosphodiester phosphodiesterase / Glycerophosphoryl diester phosphodiesterase"
5,"Sevir.5G076300",6074209,6075206,"No gene description."
5,"Sevir.5G093900",7588841,7592760,"(1 of 2) 4.2.1.113 - o-succinylbenzoate synthase / OSBS"
5,"Sevir.5G079801",6394205,6396724,"(1 of 5) PTHR10666//PTHR10666:SF155 - UBIQUITIN // POLYUBIQUITIN 4"
5,"Sevir.5G096101",7810514,7810678,"No gene description."
5,"Sevir.5G085100",6813165,6816905,"(1 of 1416) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase"
5,"Sevir.5G095100",7732433,7738944,"(1 of 1) K12196 - vacuolar protein-sorting-associated protein 4 (VPS4)"
5,"Sevir.5G096301",7836791,7839287,"(1 of 356) PF00067 - Cytochrome P450 (p450)"
5,"Sevir.5G086400",6944497,6945614,"(1 of 7) PTHR11260//PTHR11260:SF120 - GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING // SUBFAMILY NOT NAMED"
5,"Sevir.5G083900",6706760,6713027,"(1 of 2) PTHR24067:SF97 - UBIQUITIN-CONJUGATING ENZYME E2 24-RELATED"
5,"Sevir.5G084632",6783307,6784578,"No gene description."
5,"Sevir.5G073600",5928658,5934266,"(1 of 1) PTHR13586//PTHR13586:SF4 - SCD6 PROTEIN-RELATED // SUBFAMILY NOT NAMED"
5,"Sevir.5G082301",6580478,6581056,"No gene description."
5,"Sevir.5G093466",7560961,7562956,"(1 of 117) PF13947 - Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)"
5,"Sevir.5G085600",6862288,6866177,"(1 of 2) PTHR33146:SF2 - ENDONUCLEASE 2"
5,"Sevir.5G086700",6960212,6960672,"No gene description."
